Preview,Collection,Obs. ID,Product ID,RA (J2000.0),Dec. (J2000.0),Start Date,Instrument,Int. Time,Target Name,Filter,Cal. Lev.,Obs. Type,Min. Wavelength,Max. Wavelength,Proposal ID,P.I. Name,Data Release,Field of View,Polygon,Pixel Scale,Resolving Power,End Date,Data Type,Moving Target,Provenance Name,Intent,Target Type,Target Standard,Target Keywords,Sequence Number,Algorithm Name,Proposal Title,Proposal Keywords,IQ,Instrument Keywords,Tau,Molecule,Transition,Proposal Project,Band,Prov. Version,Prov. Project,Prov. Run ID,Prov. Last Executed,Rest-frame Energy,Quality,Publisher ID
caom:CFHT/716132,CFHT,716132.0,716132p,333.87391691297,-17.72434822905356,52885.5128111,MegaPrime,360.03299999999984,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9768041909543967,334.39238877237824 -18.219313520958057 333.3607623299316 -18.224292166332717 333.357524703515 -17.228166752730957 334.385086793972 -17.223470869162664,0.1859358483614781,4.4221514508099995,52885.51697814861,image,0.0,ELIXIR,science,,0.0,,716132.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T16:24:21.000,,,ivo://cadc.nrc.ca/CFHT?716132/716132p
caom:CFHT/716302,CFHT,716302.0,716302p,333.8746379907334,-17.72527851461659,52886.3743703,MegaPrime,360.0480000000002,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9759141750294162,334.3929321686343 -18.219987479074188 333.3613424556402 -18.224993349854397 333.3589073899314 -17.22946463064546 334.385251732075 -17.22414182489584,0.18590698971459388,4.4221514508099995,52886.378537522214,image,0.0,ELIXIR,science,,0.0,,716302.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm01,2004-07-20T16:24:13.000,,,ivo://cadc.nrc.ca/CFHT?716302/716302p
caom:CFHT/718503,CFHT,718503.0,718503p,333.8762584791051,-17.72992366235728,52900.4133965,MegaPrime,360.0480000000002,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9757681959400344,334.39276793139663 -18.22618168013215 333.361227933067 -18.228001159287487 333.3622664748784 -17.232559415320804 334.38867022253527 -17.230459773154543,0.1859129459154964,4.4221514508099995,52900.417563722214,image,0.0,ELIXIR,science,,0.0,,718503.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T16:51:04.000,,,ivo://cadc.nrc.ca/CFHT?718503/718503p
caom:CFHT/718504,CFHT,718504.0,718504p,333.8719522799541,-17.73121341498486,52900.4181583,MegaPrime,360.04999999999984,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758613173153918,334.3884776437123 -18.227499534374655 333.3568605613793 -18.2293376598357 333.35800056955003 -17.233846001134705 334.3843349998921 -17.231630899419148,0.18590842007047434,4.4221514508099995,52900.42232554538,image,0.0,ELIXIR,science,,0.0,,718504.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T16:56:47.000,,,ivo://cadc.nrc.ca/CFHT?718504/718504p
caom:CFHT/718505,CFHT,718505.0,718505p,333.87750653644764,-17.734051330471132,52900.4229162,MegaPrime,360.03900000000016,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.976001971587266,334.39407832320353 -18.230400508671917 333.36252750724384 -18.23220409629586 333.36331944805124 -17.236645087645183 334.3899953831165 -17.234546989187187,0.1859125205572727,4.4221514508099995,52900.427083318056,image,0.0,ELIXIR,science,,0.0,,718505.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T16:57:04.000,,,ivo://cadc.nrc.ca/CFHT?718505/718505p
caom:CFHT/718506,CFHT,718506.0,718506p,333.8807062271185,-17.728720967368332,52900.427671699996,MegaPrime,360.05099999999993,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758022198849688,334.39725020359555 -18.225038248863626 333.3656193864929 -18.226724075265917 333.3667373774174 -17.23130893115628 334.3930936875486 -17.229275430109904,0.18594889875054246,4.4221514508099995,52900.43183895695,image,0.0,ELIXIR,science,,0.0,,718506.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T16:57:03.000,,,ivo://cadc.nrc.ca/CFHT?718506/718506p
caom:CFHT/718507,CFHT,718507.0,718507p,333.87497270422625,-17.725712318549657,52900.432429500004,MegaPrime,360.04399999999987,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9760519507797624,334.3914775270656 -18.22206211198489 333.35984658335246 -18.223868392837915 333.36094322786 -17.22834600872964 334.38746248866636 -17.226088316147916,0.1859197732925184,4.4221514508099995,52900.43659667592,image,0.0,ELIXIR,science,,0.0,,718507.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T16:57:10.000,,,ivo://cadc.nrc.ca/CFHT?718507/718507p
caom:CFHT/718766,CFHT,718766.0,718766p,333.8777348642805,-17.729143375218154,52904.3628419,MegaPrime,360.0489999999997,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.976208543202688,334.39533292155244 -18.224705126982048 333.36375148038735 -18.22818502904675 333.36243344080236 -17.232608623420024 334.38927215954385 -17.228709272217536,0.18595490831387845,4.4221514508099995,52904.3670091338,image,0.0,ELIXIR,science,,0.0,,718766.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T17:51:17.000,,,ivo://cadc.nrc.ca/CFHT?718766/718766p
caom:CFHT/718767,CFHT,718767.0,718767p,333.8733698931088,-17.730524126904683,52904.3676009,MegaPrime,360.04399999999987,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9759040391130328,334.3909135591134 -18.225915409958045 333.3592982117561 -18.22955894887544 333.3583995480466 -17.233986511189194 334.38478148485024 -17.23011200427924,0.1859387382301638,4.4221514508099995,52904.371768075915,image,0.0,ELIXIR,science,,0.0,,718767.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T17:43:58.000,,,ivo://cadc.nrc.ca/CFHT?718767/718767p
caom:CFHT/718768,CFHT,718768.0,718768p,333.8790995618981,-17.73340879211305,52904.372369699995,MegaPrime,360.05199999999985,D4,r.MP9601,2.0,OBJECT,5.542e-07,6.955000000000001e-07,03BL01,Deep_Synoptic CFHTLS,2006-05-01T00:00:00.000,0.9758986187439688,334.39678181390735 -18.228777963014892 333.36503739153477 -18.232359321225072 333.36401880860546 -17.236846737380898 334.3905033116738 -17.233118087822504,0.18593673249505785,4.4221514508099995,52904.37653696851,image,0.0,ELIXIR,science,,0.0,,718768.0,exposure,A deep synoptic survey,,,Normal,,,,CFHTLS,Optical,2.0,STANDARD PIPELINE,03Bm02,2004-07-20T17:43:58.000,,,ivo://cadc.nrc.ca/CFHT?718768/718768p
